transaction_id;user_id;app_id;revenue_amount;transaction_date
299;55;17;44.5;2025-05-28
300;1889;30;24.45;2025-04-24
301;1904;53;11.75;2025-06-11
302;1251;86;13.38;2025-01-11
303;532;98;1.3;2025-01-18
304;1621;8;21.67;2025-06-09
305;1843;45;32.34;2025-06-17
306;545;94;32.74;2025-04-16
307;1706;86;25.24;2025-05-23
308;1605;24;33.65;2025-06-19
309;1539;86;19.18;2025-05-16
310;1933;38;42.07;2025-02-27
311;380;7;23.11;2025-02-15
312;8;75;24.5;2025-03-14
313;664;98;3.18;2025-04-14
314;1557;22;18.85;2025-04-24
315;480;72;3.34;2025-04-21
316;997;89;9.58;2025-03-19
317;153;23;23.53;2025-01-18
318;1662;41;1.59;2025-04-09
319;1031;61;6.35;2025-05-30
320;11;80;40.69;2025-01-30
321;1937;50;47.91;2025-02-19
322;466;29;1.76;2025-01-19
323;409;95;8.6;2025-01-14
324;1138;59;13.01;2025-03-02
325;270;20;45.82;2025-03-09
326;422;30;34.85;2025-02-18
327;1469;33;42.55;2025-04-06
328;7;24;6.59;2025-04-04
329;148;97;37.46;2025-03-24
330;94;57;35.73;2025-04-12
331;685;45;25.35;2025-05-24
332;1618;41;9.55;2025-05-01
333;1812;66;49.88;2025-05-05
334;1166;61;40.81;2025-07-01
335;271;70;27.56;2025-07-01
336;1475;15;42.38;2025-05-01
337;1447;55;41.48;2025-06-26
338;1673;80;35.71;2025-03-21
339;1161;65;4.84;2025-02-28
340;1667;1;25.2;2025-05-22
341;1563;91;30.51;2025-05-21
342;867;19;10.08;2025-01-30
343;1244;75;45.8;2025-02-07
344;1682;59;24.46;2025-04-01
345;433;38;44.77;2025-06-22
346;1151;75;9.38;2025-02-10
347;818;39;5.25;2025-05-31
348;178;40;40.97;2025-03-15
349;798;48;34.66;2025-05-03
350;1274;46;14.24;2025-06-19
351;686;77;34.81;2025-03-06
352;1824;37;42.67;2025-04-26
353;331;65;31.37;2025-02-17
354;806;25;33.19;2025-03-14
355;1622;50;23.26;2025-06-08
356;1797;41;18.08;2025-03-12
357;981;61;21.04;2025-03-21
358;887;70;45.71;2025-04-14
359;1759;41;37.09;2025-04-06
360;448;72;36.5;2025-03-11
361;1446;41;39.56;2025-05-26
362;280;60;32.93;2025-02-11
363;570;98;29.23;2025-02-27
364;1316;15;47.32;2025-03-27
365;44;67;33.39;2025-03-22
366;90;46;12.78;2025-06-01
367;1095;49;5.2;2025-07-03
368;1103;84;11.03;2025-04-25
369;364;58;24.14;2025-05-16
370;965;19;3.12;2025-04-30
371;689;37;46.56;2025-06-11
372;1451;98;38.79;2025-04-18
373;206;10;39.41;2025-03-10
374;788;30;37.69;2025-06-07
375;1782;71;23.42;2025-06-02
376;1266;92;36.35;2025-03-19
377;780;44;10.45;2025-06-03
378;1197;92;20.26;2025-02-17
379;1460;69;45.33;2025-01-29
380;374;58;41.31;2025-01-15
381;1200;41;15.06;2025-06-30
382;76;53;9.57;2025-01-17
383;1260;78;18.21;2025-06-02
384;385;61;25.22;2025-04-27
385;24;77;7.58;2025-06-09
386;865;66;49.08;2025-05-15
387;41;39;28.83;2025-07-01
388;380;55;49.77;2025-01-09
389;543;38;48.69;2025-02-18
390;54;41;39.99;2025-03-01
391;739;97;13.91;2025-01-31
392;50;55;41.58;2025-03-17
393;1191;78;43.94;2025-02-16
394;863;51;35.38;2025-03-03
395;1860;68;43.9;2025-05-09
396;1077;4;27.26;2025-03-26
397;935;47;49.32;2025-01-08
398;1157;36;26.27;2025-05-31
399;1524;77;12.13;2025-05-02
400;285;5;18.55;2025-02-24
401;569;35;16.45;2025-04-19
402;1026;15;35.23;2025-05-12
403;1810;62;4.61;2025-01-21
404;1506;68;48.64;2025-01-22
405;782;46;49.1;2025-03-25
406;1128;76;48.68;2025-05-18
407;1462;97;42.39;2025-04-12
408;422;13;28.38;2025-04-02
409;1132;9;31.57;2025-02-01
410;1999;48;12.7;2025-02-08
411;373;10;15.64;2025-05-24
412;1901;21;25.44;2025-02-28
413;1103;81;13.83;2025-06-04
414;39;66;38.4;2025-03-19
415;878;67;16.1;2025-02-05
416;1244;100;6.48;2025-04-17
417;410;60;15.52;2025-04-23
418;1344;3;4.13;2025-04-18
419;1243;20;33.09;2025-05-09
420;219;58;49.61;2025-02-19
421;1628;28;40.11;2025-01-10
422;888;66;14.21;2025-05-28
423;1519;59;32.02;2025-03-27
424;618;90;2.4;2025-04-26
425;348;70;19.26;2025-05-24
426;1966;7;8.3;2025-06-03
427;316;52;23.68;2025-06-20
428;1981;68;34.92;2025-04-16
429;135;37;18.51;2025-04-14
430;417;56;18.81;2025-04-01
431;263;30;11.78;2025-03-14
432;1192;38;12.41;2025-03-20
433;1208;64;13.0;2025-04-22
434;594;36;21.96;2025-03-17
435;743;55;7.03;2025-03-02
436;329;87;49.83;2025-05-06
437;356;28;38.97;2025-03-16
438;375;27;27.1;2025-02-16
439;1520;92;26.35;2025-02-20
440;1727;42;19.3;2025-04-19
441;42;17;29.93;2025-03-06
442;1316;26;14.13;2025-01-27
443;1305;40;23.11;2025-05-29
444;1423;11;9.72;2025-01-21
445;1471;88;29.42;2025-05-21
446;231;40;44.25;2025-04-12
447;552;59;10.84;2025-03-25
448;1730;30;25.67;2025-01-14
449;388;81;45.3;2025-04-10
450;508;78;38.98;2025-03-28
451;522;61;37.72;2025-02-20
452;1355;65;29.61;2025-01-10
453;272;94;28.33;2025-06-02
454;747;35;48.1;2025-06-14
455;635;42;18.8;2025-03-22
456;1456;34;10.22;2025-03-26
457;368;10;43.72;2025-02-12
458;1480;17;11.14;2025-06-03
459;1774;60;25.4;2025-02-28
460;3;26;1.5;2025-04-07
461;1234;19;13.6;2025-04-14
462;97;45;29.53;2025-05-08
463;1828;32;10.84;2025-03-26
464;1860;81;11.92;2025-01-19
465;800;37;21.32;2025-06-10
466;23;65;43.79;2025-06-01
467;474;60;5.24;2025-05-29
468;1210;13;30.21;2025-01-16
469;211;96;24.01;2025-02-10
470;1487;92;24.05;2025-04-25
471;891;73;14.88;2025-04-17
472;1763;89;29.62;2025-03-20
473;414;3;36.56;2025-02-28
474;1203;42;21.65;2025-06-26
475;1519;88;5.71;2025-02-11
476;1863;45;38.02;2025-06-06
477;158;10;38.58;2025-07-01
478;1827;34;16.17;2025-03-25
479;1722;18;19.82;2025-03-31
480;346;94;27.4;2025-03-09
481;1067;83;45.43;2025-06-12
482;1570;70;5.06;2025-02-15
483;1901;35;47.01;2025-02-28
484;1375;52;5.87;2025-03-18
485;757;97;8.72;2025-06-07
486;163;12;15.17;2025-03-08
487;794;56;30.06;2025-06-05
488;1874;43;38.7;2025-04-23
489;750;61;34.02;2025-07-04
490;1043;90;11.82;2025-05-29
491;359;73;47.67;2025-01-31
492;1432;36;5.0;2025-07-04
493;590;59;21.14;2025-02-07
494;1163;74;43.23;2025-04-06
495;1345;13;2.91;2025-03-08
496;345;5;49.27;2025-01-28
497;655;81;48.54;2025-05-30
498;264;74;18.27;2025-02-08
499;1095;3;25.15;2025-02-25
500;458;40;35.99;2025-01-27
501;357;19;19.63;2025-02-18
502;1854;36;12.14;2025-03-14
503;511;74;22.55;2025-06-03
504;1313;19;45.19;2025-06-19
505;1574;39;40.71;2025-04-30
506;164;89;17.05;2025-02-19
507;561;6;35.64;2025-01-27
508;309;89;40.93;2025-05-28
509;1532;50;26.0;2025-06-10
510;1375;83;21.34;2025-05-13
511;280;16;28.47;2025-07-02
512;1762;47;31.73;2025-02-22
513;1135;25;27.16;2025-01-11
514;714;32;44.82;2025-01-16
515;965;81;12.01;2025-02-11
516;468;86;8.01;2025-01-30
517;1501;11;16.78;2025-05-26
518;1607;64;19.34;2025-06-05
519;1235;99;10.43;2025-05-28
520;1306;28;22.55;2025-06-28
521;285;12;44.24;2025-01-10
522;619;69;37.3;2025-04-21
523;249;2;12.82;2025-06-04
524;766;100;42.86;2025-03-04
525;584;82;37.2;2025-04-12
526;1716;1;22.5;2025-04-28
527;1869;66;49.21;2025-01-23
528;294;67;1.95;2025-04-25
529;1808;97;22.84;2025-02-24
530;670;19;10.57;2025-05-20
531;293;98;24.03;2025-04-22
532;1866;87;47.83;2025-05-10
533;1498;52;37.65;2025-06-29
534;176;45;4.27;2025-04-16
535;222;67;5.93;2025-03-22
536;707;95;12.06;2025-06-30
537;1798;72;44.6;2025-03-02
538;1908;92;30.51;2025-04-10
539;899;43;45.24;2025-06-05
540;1669;45;27.98;2025-01-04
541;760;62;17.08;2025-04-24
542;47;60;21.39;2025-01-25
543;1931;15;6.11;2025-06-30
544;264;96;47.94;2025-01-04
545;1892;72;36.27;2025-07-03
546;452;44;4.41;2025-04-22
547;870;76;7.28;2025-03-08
548;918;60;22.16;2025-05-12
549;1782;22;37.8;2025-06-18
550;1827;45;32.1;2025-06-07
551;1712;74;23.8;2025-05-13
552;1925;84;28.73;2025-03-04
553;359;94;4.76;2025-03-12
554;1162;67;8.4;2025-07-04
555;1538;15;47.94;2025-06-11
556;1016;97;14.72;2025-05-19
557;1698;51;47.43;2025-03-29
558;1884;17;44.09;2025-05-18
559;1961;1;38.64;2025-03-21
560;1199;20;9.98;2025-05-08
561;1400;79;35.61;2025-02-02
562;438;88;7.52;2025-05-15
563;1256;45;33.27;2025-02-26
564;1241;5;43.95;2025-02-08
565;851;48;42.86;2025-04-24
566;1236;61;21.21;2025-04-17
567;1181;98;3.14;2025-02-07
568;676;44;45.84;2025-02-27
569;193;62;37.65;2025-05-23
570;335;44;8.93;2025-04-06
571;1866;51;31.65;2025-03-30
572;548;87;34.38;2025-05-31
573;1651;80;29.91;2025-06-26
574;1809;24;20.39;2025-03-26
575;115;55;19.95;2025-05-19
576;843;82;28.41;2025-05-16
577;1815;62;35.94;2025-03-20
578;957;75;39.32;2025-01-23
579;816;32;44.23;2025-05-18
580;33;10;7.02;2025-02-07
581;756;72;40.33;2025-04-04
582;985;94;28.11;2025-04-06
583;169;22;40.54;2025-06-26
584;1507;29;6.51;2025-02-21
585;389;30;30.77;2025-03-24
586;608;69;43.33;2025-04-30
587;1263;95;43.21;2025-04-05
588;1360;77;36.24;2025-03-28
589;1816;30;47.86;2025-02-06
590;1838;80;22.62;2025-06-28
591;1268;62;18.22;2025-04-23
592;626;49;30.31;2025-02-17
593;747;73;1.27;2025-02-18
594;914;16;15.02;2025-06-13
595;841;8;48.22;2025-03-07
596;1495;96;29.6;2025-06-26
597;473;45;17.91;2025-02-02
598;119;50;19.9;2025-05-26
599;822;71;34.57;2025-03-26
600;1145;40;48.24;2025-02-02
601;1968;43;25.35;2025-03-06
602;357;49;37.76;2025-04-24
603;752;20;18.21;2025-05-15
604;519;100;11.16;2025-03-07
605;657;33;45.27;2025-03-06
606;363;75;1.53;2025-06-03
607;190;85;34.53;2025-04-16
608;607;36;27.54;2025-03-28
609;1040;97;26.37;2025-06-28
610;1614;3;30.13;2025-02-26
611;346;90;42.42;2025-03-08
612;1403;6;5.24;2025-02-12
613;518;88;18.54;2025-02-18
614;315;25;11.74;2025-02-11
615;196;97;2.59;2025-01-13
616;245;70;34.07;2025-02-13
617;579;24;7.96;2025-02-16
618;1194;26;41.3;2025-02-17
619;1432;57;21.23;2025-05-09
620;1171;19;3.12;2025-01-05
621;299;79;9.41;2025-05-14
622;1177;67;20.88;2025-06-05
623;197;8;33.02;2025-05-10
624;1370;92;14.01;2025-05-02
625;1293;71;34.71;2025-03-03
626;756;19;43.9;2025-05-25
627;1741;41;39.32;2025-03-01
628;1638;54;37.21;2025-04-19
629;538;70;28.82;2025-04-11
630;1487;94;46.02;2025-01-10
631;1211;33;7.94;2025-05-18
632;985;94;4.15;2025-06-01
633;1360;99;11.39;2025-04-23
634;1564;8;41.96;2025-07-02
635;1537;89;23.27;2025-04-18
636;1679;12;5.22;2025-05-21
637;1614;49;20.34;2025-06-11
638;1990;60;10.7;2025-06-01
639;1864;55;25.83;2025-07-04
640;1042;91;42.13;2025-01-21
641;920;11;26.07;2025-05-23
642;605;36;4.56;2025-05-23
643;1468;24;40.6;2025-05-08
644;926;22;4.28;2025-02-09
645;6;8;37.64;2025-06-22
646;912;35;24.99;2025-05-18
647;1574;9;34.89;2025-06-21
648;1244;98;41.79;2025-01-30
649;1184;38;9.97;2025-06-02
650;800;49;24.69;2025-02-04
651;926;79;17.57;2025-06-03
652;923;61;30.86;2025-03-03
653;1723;59;44.53;2025-01-19
654;683;44;27.41;2025-02-18
655;287;30;2.23;2025-03-09
656;498;73;38.76;2025-03-28
657;998;15;30.89;2025-06-13
658;1531;80;3.22;2025-01-27
659;1773;27;6.61;2025-01-24
660;68;21;6.69;2025-01-09
661;583;37;5.81;2025-04-03
662;1595;65;28.33;2025-04-28
663;559;4;48.11;2025-06-14
664;1135;24;4.06;2025-06-04
665;1983;25;12.47;2025-06-21
666;1493;53;31.3;2025-03-19
667;1614;61;36.7;2025-05-04
668;1979;69;19.77;2025-01-10
669;1078;58;45.02;2025-02-21
670;1359;34;28.54;2025-02-20
671;1443;44;22.49;2025-05-04
672;1630;71;47.47;2025-04-29
673;1749;26;4.83;2025-04-05
674;1234;28;17.6;2025-04-04
675;657;71;5.76;2025-01-25
676;668;68;13.22;2025-04-30
677;1837;24;48.91;2025-07-02
678;1832;81;21.5;2025-06-19
679;1685;43;4.74;2025-06-28
680;1077;7;41.65;2025-01-20
681;386;29;28.64;2025-06-01
682;189;71;38.35;2025-02-02
683;754;98;6.78;2025-01-11
684;1764;43;38.18;2025-03-11
685;562;56;42.33;2025-05-27
686;395;85;10.05;2025-03-07
687;1090;13;32.57;2025-01-13
688;1440;60;34.37;2025-01-19
689;149;58;21.74;2025-05-23
690;553;93;37.0;2025-04-01
691;627;97;1.2;2025-06-02
692;1613;18;8.52;2025-02-24
693;156;7;3.37;2025-04-18
694;124;69;14.15;2025-04-30
695;1499;43;48.47;2025-05-09
696;1382;26;11.43;2025-05-02
697;178;84;43.36;2025-01-12
698;1183;67;29.15;2025-01-08
699;120;18;6.96;2025-02-08
700;1950;26;42.97;2025-04-03
701;1326;9;31.09;2025-03-16
702;1917;30;9.85;2025-03-01
703;1945;4;4.73;2025-05-31
704;1597;5;28.89;2025-06-26
705;781;86;4.34;2025-02-15
706;15;93;37.46;2025-05-26
707;1376;83;43.18;2025-03-01
708;1628;62;42.04;2025-02-27
709;1064;92;18.79;2025-04-17
710;48;14;36.83;2025-02-27
711;1016;97;34.62;2025-04-20
712;1351;57;6.46;2025-04-12
713;1133;75;13.11;2025-04-27
714;89;68;40.07;2025-04-17
715;66;77;48.42;2025-05-16
716;904;19;40.2;2025-05-01
717;167;89;27.1;2025-02-22
718;643;43;3.61;2025-06-07
719;1570;1;41.88;2025-02-18
720;1201;7;40.21;2025-05-09
721;519;32;44.57;2025-04-19
722;294;18;4.86;2025-06-21
723;324;4;40.2;2025-04-09
724;677;94;21.1;2025-01-26
725;307;51;47.61;2025-02-04
726;1897;92;1.92;2025-05-19
727;1549;58;19.02;2025-02-01
728;32;32;48.19;2025-06-30
729;606;14;34.19;2025-02-06
730;1777;68;36.42;2025-02-27
731;1321;94;5.81;2025-02-05
732;1742;25;32.35;2025-03-22
733;231;75;45.08;2025-06-23
734;1024;38;42.91;2025-02-23
735;1888;18;32.54;2025-02-27
736;236;47;2.93;2025-01-14
737;1077;76;27.21;2025-03-22
738;474;79;48.36;2025-05-03
739;1043;76;8.02;2025-06-02
740;957;27;34.41;2025-02-07
741;1268;85;43.52;2025-05-31
742;387;18;20.39;2025-06-08
743;248;17;18.72;2025-04-21
744;1603;67;19.49;2025-06-02
745;1061;70;46.05;2025-06-08
746;1509;26;8.44;2025-03-08
747;1554;50;38.57;2025-06-14
748;1985;30;29.64;2025-01-06
749;1698;66;23.65;2025-03-08
750;1283;69;49.23;2025-04-28
751;1275;70;18.79;2025-04-13
752;1248;58;13.8;2025-02-28
753;1919;25;47.95;2025-02-06
754;794;45;33.94;2025-06-28
755;1606;20;2.33;2025-06-08
756;1590;85;6.34;2025-03-24
757;917;67;33.15;2025-03-20
758;1261;50;39.12;2025-01-10
759;1705;12;45.84;2025-05-29
760;729;59;40.43;2025-04-02
761;1642;100;16.96;2025-02-05
762;1369;59;28.46;2025-01-10
763;1224;60;47.31;2025-01-30
764;1364;16;27.33;2025-05-23
765;1228;56;33.15;2025-04-21
766;1441;49;46.93;2025-03-10
767;1569;21;22.59;2025-04-14
768;1055;67;38.63;2025-05-07
769;818;41;2.92;2025-05-03
770;523;27;12.35;2025-04-09
771;1704;49;2.68;2025-04-05
772;877;84;42.69;2025-01-08
773;695;35;49.99;2025-05-02
774;303;83;8.08;2025-02-19
775;454;33;9.84;2025-03-17
776;706;60;35.57;2025-05-04
777;1478;85;20.45;2025-04-12
778;1353;37;18.0;2025-05-08
779;1652;70;34.88;2025-05-21
780;646;55;38.73;2025-01-09
781;1610;88;35.09;2025-01-06
782;233;77;4.44;2025-02-15
783;431;36;49.05;2025-03-23
784;1453;93;43.91;2025-04-16
785;1360;55;5.2;2025-06-01
786;505;25;14.22;2025-03-03
787;905;70;30.83;2025-04-06
788;1499;99;18.19;2025-03-16
789;1255;67;49.97;2025-06-24
790;845;56;9.62;2025-02-10
791;1630;81;41.0;2025-02-02
792;1526;79;37.47;2025-06-06
793;380;92;3.94;2025-05-27
794;392;12;18.44;2025-03-09
795;1254;53;42.51;2025-02-23
796;1575;3;41.71;2025-03-07
